sampleID	SRR10070130	SRR10070131	SRR10070134	SRR10070135	SRR10070136	SRR10070137	SRR10070148	SRR10070149	SRR10070150	SRR10070151	SRR10070152	SRR10070153	SRR10102389	SRR10102390	SRR10102391	SRR10102392	SRR10102393	SRR10102394
 Treatment	RiverWater	RiverWater	RiverWater	RiverWater	RiverWater	RiverWater	Sediment	Sediment	Sediment	Sediment	Sediment	Sediment	Soil	Soil	Soil	Soil	Soil	Soil# Constructed from biom file
#OTU ID	SRR10070130	SRR10070131	SRR10070134	SRR10070135	SRR10070136	SRR10070137	SRR10070148	SRR10070149	SRR10070150	SRR10070151	SRR10070152	SRR10070153	SRR10102389	SRR10102390	SRR10102391	SRR10102392	SRR10102393	SRR10102394
5a0ae6a10829f1b6d01debcce81fa0c6	9.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
07e1146013b97799305b44311b21ed95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	174.0	105.0	30.0	37.0	29.0
f1be300df01babcf1897e6103507179f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	37.0	0.0	0.0	0.0
3ebe1f3e6b692a188ce0c7aad5d45827	0.0	0.0	0.0	0.0	0.0	0.0	38.0	49.0	19.0	55.0	45.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
5c0f2571b2f74983ad14a80ba19ffe96	8.0	0.0	0.0	0.0	0.0	14.0	25.0	0.0	0.0	0.0	12.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
32e2fe429f524cc9144b87cebd3bd4f8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bd6d96f1f747503d4dc932e7e2ebfdab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	90.0	114.0
5afbe7e3371bfd3220f926e30fe3f409	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	22.0	27.0	27.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
674ed04ab8ded1410be5d8674ecf812c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	12.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
761e2af683301b359aaae563e8eec4e0	5.0	4.0	10.0	6.0	7.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
735a34530e1dd2ede72d29fc30982807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	50.0	19.0	53.0	51.0	68.0
